"CRASH.DATE","CRASH.TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","COLLISION_ID","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5"
"09/11/2021","2:39","",NA,NA,NA,"","WHITESTONE EXPRESSWAY","20 AVENUE","",2,0,0,0,0,0,2,0,"Aggressive Driving/Road Rage","Unspecified","","","",4455765,"Sedan","Sedan","","",""
"03/26/2022","11:45","",NA,NA,NA,"","QUEENSBORO BRIDGE UPPER","","",1,0,0,0,0,0,1,0,"Pavement Slippery","","","","",4513547,"Sedan","","","",""
"06/29/2022","6:55","",NA,NA,NA,"","THROGS NECK BRIDGE","","",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified","","","",4541903,"Sedan","Pick-up Truck","","",""
"09/11/2021","9:35","BROOKLYN",11208,40.667202,-73.8665,"(40.667202, -73.8665)","","","1211      LORING AVENUE",0,0,0,0,0,0,0,0,"Unspecified","","","","",4456314,"Sedan","","","",""
"12/14/2021","8:13","BROOKLYN",11233,40.683304,-73.917274,"(40.683304, -73.917274)","SARATOGA AVENUE","DECATUR STREET","",0,0,0,0,0,0,0,0,"","","","","",4486609,"","","","",""
"04/14/2021","12:47","",NA,NA,NA,"","MAJOR DEEGAN EXPRESSWAY RAMP","","",0,0,0,0,0,0,0,0,"Unspecified","Unspecified","","","",4407458,"Dump","Sedan","","",""
"12/14/2021","17:05","",NA,40.709183,-73.956825,"(40.709183, -73.956825)","BROOKLYN QUEENS EXPRESSWAY","","",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified","","","",4486555,"Sedan","Tractor Truck Diesel","","",""
"12/14/2021","8:17","BRONX",10475,40.86816,-73.83148,"(40.86816, -73.83148)","","","344       BAYCHESTER AVENUE",2,0,0,0,0,0,2,0,"Unspecified","Unspecified","","","",4486660,"Sedan","Sedan","","",""
"12/14/2021","21:10","BROOKLYN",11207,40.67172,-73.8971,"(40.67172, -73.8971)","","","2047      PITKIN AVENUE",0,0,0,0,0,0,0,0,"Driver Inexperience","Unspecified","","","",4487074,"Sedan","","","",""
"12/14/2021","14:58","MANHATTAN",10017,40.75144,-73.97397,"(40.75144, -73.97397)","3 AVENUE","EAST 43 STREET","",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified","","","",4486519,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"12/13/2021","0:34","",NA,40.701275,-73.88887,"(40.701275, -73.88887)","MYRTLE AVENUE","","",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified","","","",4486934,"Station Wagon/Sport Utility Vehicle","","","",""
"12/14/2021","16:50","QUEENS",11413,40.675884,-73.75577,"(40.675884, -73.75577)","SPRINGFIELD BOULEVARD","EAST GATE PLAZA","",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified","","","",4487127,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"12/14/2021","8:30","",NA,NA,NA,"","broadway","west 80 street -west 81 street","",0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified","","","",4486634,"Station Wagon/Sport Utility Vehicle","Sedan","","",""
"12/14/2021","0:59","",NA,40.59662,-74.00231,"(40.59662, -74.00231)","BELT PARKWAY","","",0,0,0,0,0,0,0,0,"Unsafe Speed","","","","",4486564,"Sedan","","","",""
"12/14/2021","23:10","QUEENS",11434,40.66684,-73.78941,"(40.66684, -73.78941)","NORTH CONDUIT AVENUE","150 STREET","",2,0,0,0,0,0,2,0,"Reaction to Uninvolved Vehicle","Unspecified","","","",4486635,"Sedan","Sedan","","",""
"12/14/2021","17:58","BROOKLYN",11217,40.68158,-73.97463,"(40.68158, -73.97463)","","","480       DEAN STREET",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified","","","",4486604,"Tanker","Station Wagon/Sport Utility Vehicle","","",""
"12/14/2021","20:03","BROOKLYN",11226,40.65068,-73.95881,"(40.65068, -73.95881)","","","878       FLATBUSH AVENUE",4,0,0,0,0,0,4,0,"Steering Failure","","","","",4486991,"Sedan","","","",""
"12/14/2021","1:28","",NA,NA,NA,"","MEEKER AVENUE","LORIMER STREET","",3,0,0,0,0,0,3,0,"Traffic Control Disregarded","Unspecified","","","",4486284,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","","",""
"12/11/2021","19:43","BRONX",10463,40.87262,-73.904686,"(40.87262, -73.904686)","WEST KINGSBRIDGE ROAD","HEATH AVENUE","",1,0,0,0,0,0,1,0,"Unspecified","Unspecified","","","",4487040,"Station Wagon/Sport Utility Vehicle","Sedan","","",""
"12/14/2021","14:30","",NA,40.783268,-73.82485,"(40.783268, -73.82485)","WHITESTONE EXPRESSWAY","","",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified","Unspecified","","",4486537,"Station Wagon/Sport Utility Vehicle","Sedan","Sedan","",""
"12/11/2021","4:45","MANHATTAN",10001,40.748917,-73.993546,"(40.748917, -73.993546)","","","232       WEST 30 STREET",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified","","","",4486905,"Station Wagon/Sport Utility Vehicle","","","",""
"12/14/2021","5:46","",NA,40.744644,-73.77041,"(40.744644, -73.77041)","LONG ISLAND EXPRESSWAY","","",1,0,0,0,0,0,1,0,"Other Vehicular","Other Vehicular","","","",4487122,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","","",""
"12/13/2021","6:30","QUEENS",11372,40.75373,-73.88505,"(40.75373, -73.88505)","82 STREET","34 AVENUE","",0,0,0,0,0,0,0,0,"Unspecified","","","","",4486967,"Sedan","","","",""
"12/14/2021","3:43","",NA,40.804375,-73.93742,"(40.804375, -73.93742)","LEXINGTON AVENUE","","",1,0,1,0,0,0,0,0,"Unspecified","","","","",4486304,"Station Wagon/Sport Utility Vehicle","","","",""
"12/13/2021","17:40","STATEN ISLAND",10301,40.63165,-74.08762,"(40.63165, -74.08762)","VICTORY BOULEVARD","WOODSTOCK AVENUE","",1,0,0,0,0,0,1,0,"Unspecified","Unspecified","","","",4487001,"Sedan","Sedan","","",""
"12/14/2021","17:31","BROOKLYN",11230,40.623104,-73.95809,"(40.623104, -73.95809)","EAST 18 STREET","AVENUE K","",1,0,1,0,0,0,0,0,"Unspecified","","","","",4486516,"Sedan","","","",""
"12/14/2021","20:13","BROOKLYN",11215,40.66576,-73.9845,"(40.66576, -73.9845)","","","366       12 STREET",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified","","","",4486605,"Sedan","","","",""
"12/14/2021","12:54","BROOKLYN",11217,40.687534,-73.9775,"(40.687534, -73.9775)","FULTON STREET","SAINT FELIX STREET","",1,0,0,0,1,0,0,0,"Unspecified","Unspecified","","","",4487052,"Sedan","Bike","","",""
"12/14/2021","17:15","BROOKLYN",11211,40.710957,-73.951126,"(40.710957, -73.951126)","GRAND STREET","UNION AVENUE","",1,0,0,0,0,0,1,0,"Passing or Lane Usage Improper","Unspecified","","","",4486556,"Bus","Station Wagon/Sport Utility Vehicle","","",""
"12/14/2021","22:49","BRONX",10455,40.81813,-73.910126,"(40.81813, -73.910126)","","","713       EAGLE AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4486875,"Taxi","","","",""
"12/12/2021","9:00","QUEENS",11385,40.70447,-73.90148,"(40.70447, -73.90148)","","","59-14     67 AVENUE",0,0,0,0,0,0,0,0,"Passing Too Closely","Unspecified","","","",4486933,"Station Wagon/Sport Utility Vehicle","","","",""
"12/14/2021","16:25","",NA,40.784615,-73.953964,"(40.784615, -73.953964)","EAST 93 STREET","","",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction","","","",4486581,"Van","Bike","","",""
"04/14/2021","14:30","",NA,NA,NA,"","EASTCHESTER ROAD","PELHAM PARKWAY NORTH","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4407520,"Bus","","","",""
"12/16/2021","6:59","",NA,NA,NA,"","KINGSLAND AVENUE","MEEKER AVENUE","",1,0,1,0,0,0,0,0,"Traffic Control Disregarded","","","","",4486960,"","","","",""
"06/29/2022","16:00","",NA,NA,NA,"","WILLIAMSBURG BRIDGE OUTER ROADWA","","",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified","","","",4542336,"Motorscooter","Station Wagon/Sport Utility Vehicle","","",""
"04/15/2021","16:15","",NA,NA,NA,"","HUTCHINSON RIVER PARKWAY","","",0,0,0,0,0,0,0,0,"Pavement Slippery","","","","",4407665,"Station Wagon/Sport Utility Vehicle","","","",""
"07/07/2021","11:42","",NA,NA,NA,"","THROGS NECK BRIDGE","","",1,0,0,0,0,0,1,0,"Unsafe Lane Changing","Unspecified","","","",4456591,"Sedan","Sedan","","",""
"07/12/2022","17:50","BROOKLYN",11225,40.663303,-73.96049,"(40.663303, -73.96049)","","","44        EMPIRE BOULEVARD",0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified","","","",4545699,"Sedan","","","",""
"03/23/2022","10:00","",NA,NA,NA,"","","","71        EAST DRIVE",0,0,0,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","","","","",4512922,"Bike","","","",""
"07/09/2021","0:43","",NA,40.720535,-73.88885,"(40.720535, -73.88885)","ELIOT AVENUE","","",0,1,0,1,0,0,0,0,"Unspecified","","","","",4456659,"Bus","","","",""
"04/24/2022","16:45","",NA,40.607685,-74.13892,"(40.607685, -74.13892)","STATEN ISLAND EXPRESSWAY","","",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified","","","",4521660,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","","",""
"04/24/2022","4:49","",NA,40.855972,-73.869896,"(40.855972, -73.869896)","BOSTON ROAD","BRONX PARK EAST","",0,0,0,0,0,0,0,0,"Unspecified","Unspecified","","","",4521759,"Station Wagon/Sport Utility Vehicle","Sedan","","",""
"04/22/2022","17:17","",NA,40.790276,-73.9396,"(40.790276, -73.9396)","EAST 107 STREET","","",1,0,1,0,0,0,0,0,"Traffic Control Disregarded","","","","",4522226,"E-Bike","","","",""
"04/24/2022","1:30","BROOKLYN",11220,40.642986,-74.01621,"(40.642986, -74.01621)","","","5610      4 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","","","","",4522015,"Station Wagon/Sport Utility Vehicle","","","",""
"04/24/2022","6:00","QUEENS",11411,0,0,"(0.0, 0.0)","","","116-44    234 STREET",0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified","","","",4521460,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"04/24/2022","21:40","BRONX",10452,40.843906,-73.92413,"(40.843906, -73.92413)","BOSCOBEL PLACE","UNIVERSITY AVENUE","",0,0,0,0,0,0,0,0,"Alcohol Involvement","Unspecified","","","",4522156,"Taxi","Station Wagon/Sport Utility Vehicle","","",""
"04/24/2022","17:45","BRONX",10466,40.89481,-73.86183,"(40.89481, -73.86183)","BRONX RIVER PARKWAY","EAST 233 STREET","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4521633,"Sedan","","","",""
"04/15/2022","6:11","",NA,0,0,"(0.0, 0.0)","EAST 162 STREET","","",1,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4522124,"Station Wagon/Sport Utility Vehicle","E-Scooter","","",""
"04/24/2022","9:51","",NA,40.85169,-73.95238,"(40.85169, -73.95238)","CROSS BRONX EXPY","","",0,0,0,0,0,0,0,0,"Unspecified","Unspecified","","","",4521937,"Sedan","","","",""
"04/24/2022","0:00","BRONX",10453,40.861862,-73.91275,"(40.861862, -73.91275)","MAJOR DEEGAN EXPRESSWAY","WEST FORDHAM ROAD","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4521801,"Sedan","","","",""
"03/08/2022","20:00","BROOKLYN",11207,40.666256,-73.900215,"(40.666256, -73.900215)","","","360       SNEDIKER AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified","","","",4522285,"Sedan","","","",""
"04/24/2022","15:35","MANHATTAN",10019,40.767242,-73.986206,"(40.767242, -73.986206)","WEST 56 STREET","9 AVENUE","",1,0,0,0,1,0,0,0,"View Obstructed/Limited","Unspecified","","","",4521853,"Station Wagon/Sport Utility Vehicle","Bike","","",""
"04/22/2022","12:00","BROOKLYN",11230,40.62417,-73.97048,"(40.62417, -73.97048)","AVENUE J","OCEAN PARKWAY","",1,0,0,0,0,0,1,0,"Unspecified","Unspecified","","","",4522228,"Sedan","Pick-up Truck","","",""
"04/24/2022","13:10","",NA,40.679955,-73.97491,"(40.679955, -73.97491)","SAINT MARKS AVENUE","6 AVENUE","",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified","","","",4521702,"Station Wagon/Sport Utility Vehicle","","","",""
"04/24/2022","4:20","BROOKLYN",11221,40.692356,-73.94282,"(40.692356, -73.94282)","THROOP AVENUE","DE KALB AVENUE","",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified","","","",4522167,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","","",""
"04/20/2022","19:37","",NA,40.78291,-73.98578,"(40.78291, -73.98578)","HENRY HUDSON PARKWAY","","",0,0,0,0,0,0,0,0,"Driver Inexperience","Unspecified","","","",4522196,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"04/24/2022","16:14","",NA,40.67308,-73.91124,"(40.67308, -73.91124)","ROCKAWAY AVENUE","","",0,0,0,0,0,0,0,0,"Unspecified","Unspecified","","","",4521758,"Sedan","Sedan","","",""
"04/12/2022","19:56","BROOKLYN",11203,40.65011,-73.930214,"(40.65011, -73.930214)","UTICA AVENUE","SNYDER AVENUE","",1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way","","","","",4522136,"Station Wagon/Sport Utility Vehicle","","","",""
"04/24/2022","0:30","",NA,40.638382,-74.03668,"(40.638382, -74.03668)","BELT PARKWAY","","",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified","Unspecified","Unspecified","",4521469,"Sedan","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",""
"04/24/2022","20:13","QUEENS",11419,40.69261,-73.81143,"(40.69261, -73.81143)","","","102-24    VANWYCK EXPRESSWAY",0,0,0,0,0,0,0,0,"Aggressive Driving/Road Rage","","","","",4521859,"Sedan","","","",""
"04/24/2022","15:21","QUEENS",11101,40.745235,-73.937706,"(40.745235, -73.937706)","THOMSON AVENUE","SKILLMAN AVENUE","",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Driver Inattention/Distraction","","","",4521590,"Sedan","Sedan","","",""
"04/24/2022","10:27","",NA,NA,NA,"","VANWYCK EXPRESSWAY","109 AVENUE","",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Traffic Control Disregarded","","","",4521902,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"04/24/2022","21:00","QUEENS",11106,40.758705,-73.93793,"(40.758705, -73.93793)","21 STREET","37 AVENUE","",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Unspecified","","","",4521684,"Sedan","Sedan","","",""
"04/24/2022","21:40","QUEENS",11418,40.695156,-73.845406,"(40.695156, -73.845406)","JAMAICA AVENUE","102 STREET","",0,0,0,0,0,0,0,0,"Reaction to Uninvolved Vehicle","Unspecified","","","",4521858,"Ambulance","Station Wagon/Sport Utility Vehicle","","",""
"04/07/2022","14:14","MANHATTAN",10017,40.748158,-73.97033,"(40.748158, -73.97033)","1 AVENUE","EAST 41 STREET","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Passing or Lane Usage Improper","","","",4522242,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"06/29/2021","17:35","",NA,40.609535,-73.75372,"(40.609535, -73.75372)","BEACH CHANNEL DRIVE","","",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified","","","",4456672,"Station Wagon/Sport Utility Vehicle","E-Bike","","",""
"12/09/2021","20:20","BROOKLYN",11223,40.59207,-73.96299,"(40.59207, -73.96299)","EAST 7 STREET","CRAWFORD AVENUE","",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4485150,"Bike","","","",""
"12/09/2021","14:50","",NA,40.850018,-73.9107,"(40.850018, -73.9107)","WEST 177 STREET","","",0,0,0,0,0,0,0,0,"Unspecified","Unspecified","","","",4485116,"Station Wagon/Sport Utility Vehicle","Sedan","","",""
"12/09/2021","2:45","QUEENS",11422,40.653023,-73.73895,"(40.653023, -73.73895)","149 AVENUE","HUXLEY STREET","",1,0,0,0,0,0,1,0,"Alcohol Involvement","","","","",4485026,"Sedan","","","",""
"12/06/2021","22:16","",NA,40.62573,-73.9564,"(40.62573, -73.9564)","AVENUE J","","",0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified","","","",4485528,"Sedan","","","",""
"12/04/2021","12:00","BROOKLYN",11213,40.665375,-73.934235,"(40.665375, -73.934235)","CROWN STREET","SCHENECTADY AVENUE","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction","","","",4485333,"Sedan","Ambulance","","",""
"12/08/2021","16:20","MANHATTAN",10128,40.776237,-73.943825,"(40.776237, -73.943825)","EAST END AVENUE","EAST 88 STREET","",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified","","","",4485234,"Taxi","Station Wagon/Sport Utility Vehicle","","",""
"12/09/2021","23:15","BROOKLYN",11218,40.640835,-73.98967,"(40.640835, -73.98967)","12 AVENUE","41 STREET","",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction","","","",4485355,"Sedan","Bike","","",""
"12/01/2021","14:34","QUEENS",11692,40.593636,-73.797264,"(40.593636, -73.797264)","","","437       BEACH 68 STREET",0,0,0,0,0,0,0,0,"Unsafe Speed","Unspecified","","","",4485581,"Sedan","Pick-up Truck","","",""
"12/10/2021","7:00","QUEENS",11420,40.674263,-73.80453,"(40.674263, -73.80453)","","","122-42    134 STREET",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified","","","",4485866,"Sedan","","","",""
"12/07/2021","9:20","",NA,40.70476,-73.96491,"(40.70476, -73.96491)","TAYLOR STREET","","",0,0,0,0,0,0,0,0,"Steering Failure","","","","",4485192,"Station Wagon/Sport Utility Vehicle","","","",""
"12/09/2021","8:00","",NA,40.569626,-74.190735,"(40.569626, -74.190735)","WEST SHORE EXPRESSWAY","","",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified","","","",4485214,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"12/07/2021","17:08","BROOKLYN",11205,40.698463,-73.960205,"(40.698463, -73.960205)","FLUSHING AVENUE","KENT AVENUE","",0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified","","","",4485437,"","","","",""
"12/05/2021","8:20","BROOKLYN",11212,40.658413,-73.9171,"(40.658413, -73.9171)","","","393       ROCKAWAY PARKWAY",0,0,0,0,0,0,0,0,"Unspecified","","","","",4485408,"Sedan","","","",""
"12/08/2021","19:30","MANHATTAN",10022,40.76175,-73.96899,"(40.76175, -73.96899)","","","127       EAST 58 STREET",1,0,0,0,1,0,0,0,"Following Too Closely","Reaction to Uninvolved Vehicle","","","",4484852,"Station Wagon/Sport Utility Vehicle","Bike","","",""
"12/08/2021","12:00","MANHATTAN",10011,40.736614,-73.9951,"(40.736614, -73.9951)","","","44        WEST 14 STREET",1,0,0,0,1,0,0,0,"Passing or Lane Usage Improper","Unspecified","","","",4485542,"Box Truck","Bike","","",""
"12/10/2021","8:06","",NA,NA,NA,"","FLATBUSH AVENUE","GRAND ARMY PLAZA","",0,0,0,0,0,0,0,0,"Unsafe Lane Changing","Unspecified","","","",4485170,"Garbage or Refuse","Sedan","","",""
"12/08/2021","19:30","",NA,NA,NA,"","OCEAN PARKWAY","","",4,0,0,0,0,0,4,0,"Unsafe Speed","Unspecified","","","",4485523,"Taxi","Station Wagon/Sport Utility Vehicle","","",""
"12/08/2021","22:37","STATEN ISLAND",10314,40.62121,-74.12385,"(40.62121, -74.12385)","","","288       MANOR ROAD",0,0,0,0,0,0,0,0,"Pavement Slippery","","","","",4484906,"Sedan","","","",""
"12/08/2021","17:56","",NA,40.873737,-73.90593,"(40.873737, -73.90593)","MAJOR DEEGAN EXPRESSWAY","","",0,0,0,0,0,0,0,0,"Unspecified","","","","",4485036,"Sedan","","","",""
"12/07/2021","7:50","",NA,40.66718,-73.95076,"(40.66718, -73.95076)","CARROLL STREET","","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4485772,"Sedan","Sedan","","",""
"12/08/2021","0:44","QUEENS",11101,40.754295,-73.93946,"(40.754295, -73.93946)","23 STREET","40 AVENUE","",0,0,0,0,0,0,0,0,"View Obstructed/Limited","","","","",4485565,"Sedan","","","",""
"12/08/2021","15:00","",NA,40.588116,-73.97261,"(40.588116, -73.97261)","AVENUE Y","","",0,0,0,0,0,0,0,0,"Passing Too Closely","","","","",4484836,"Sedan","","","",""
"12/10/2021","11:00","BRONX",10461,40.854935,-73.85822,"(40.854935, -73.85822)","","","2123      LURTING AVENUE",0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified","","","",4485340,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","","",""
"12/10/2021","1:10","",NA,40.662575,-73.93448,"(40.662575, -73.93448)","SCHENECTADY AVENUE","","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4485706,"Station Wagon/Sport Utility Vehicle","Sedan","","",""
"12/09/2021","0:00","",NA,40.7448,-73.953415,"(40.7448, -73.953415)","47 ROAD","","",1,0,1,0,0,0,0,0,"Unspecified","","","","",4485384,"Sedan","","","",""
"12/08/2021","18:36","",NA,40.79672,-73.97618,"(40.79672, -73.97618)","HENRY HUDSON PARKWAY","","",0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified","","","",4484799,"Sedan","Station Wagon/Sport Utility Vehicle","","",""
"12/09/2021","20:30","QUEENS",11004,40.752777,-73.70743,"(40.752777, -73.70743)","","","269-01    76 AVENUE",0,0,0,0,0,0,0,0,"Illnes","","","","",4485077,"Sedan","","","",""
"12/09/2021","10:13","BROOKLYN",11203,40.638523,-73.92607,"(40.638523, -73.92607)","KINGS HIGHWAY","FARRAGUT ROAD","",2,0,0,0,0,0,2,0,"Traffic Control Disregarded","Traffic Control Disregarded","","","",4485090,"Sedan","Sedan","","",""
"03/26/2022","14:00","STATEN ISLAND",10301,40.637833,-74.08193,"(40.637833, -74.08193)","CORSON AVENUE","WESTERVELT AVENUE","",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified","","","",4513697,"Sedan","Sedan","","",""
"03/26/2022","1:02","MANHATTAN",10025,40.797836,-73.96946,"(40.797836, -73.96946)","WEST 101 STREET","BROADWAY","",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Unspecified","","","",4513935,"Sedan","Moped","","",""
"03/26/2022","16:02","QUEENS",11373,40.734375,-73.87342,"(40.734375, -73.87342)","QUEENS BOULEVARD","57 AVENUE","",1,0,0,0,0,0,1,0,"Lost Consciousness","Unspecified","","","",4513794,"Station Wagon/Sport Utility Vehicle","Sedan","","",""
"03/26/2022","16:05","QUEENS",11411,40.699947,-73.736626,"(40.699947, -73.736626)","115 AVENUE","221 STREET","",1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified","","","",4514267,"Station Wagon/Sport Utility Vehicle","Bus","","",""
"03/21/2022","12:05","MANHATTAN",10018,40.75632,-73.999275,"(40.75632, -73.999275)","","","515       WEST 36 STREET",1,0,0,0,0,0,1,0,"Following Too Closely","Unspecified","","","",4514237,"Motorcycle","Sedan","","",""
"03/26/2022","5:13","QUEENS",11418,40.69614,-73.81789,"(40.69614, -73.81789)","131 STREET","ATLANTIC AVENUE","",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified","","","",4513470,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","","",""
